"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
337,"NVDA","NVIDIA Corporation","Technology","Semiconductor - Specialized","USA",8908.95,16.91,15.22,-1.55%,6896549
338,"NWL","Newell Rubbermaid Inc.","Consumer Goods","Housewares & Accessories","USA",7764.12,20.07,26.69,0.49%,2031567
339,"NWSA","News Corp.","Services","Broadcasting - TV","USA",9383.87,17.26,15.88,0.51%,4210328
340,"NYX","NYSE Euronext, Inc.","Financial","Diversified Investments","USA",10538.91,24.37,43.37,-0.05%,1228837
341,"OI","Owens-Illinois, Inc.","Consumer Goods","Packaging & Containers","USA",4748.62,33.59,28.89,0.24%,1101811
342,"OKE","ONEOK Inc.","Utilities","Gas Utilities","USA",10830.75,37.80,52.54,-0.36%,1071612
343,"OMC","Omnicom Group Inc.","Services","Advertising Agencies","USA",15915.55,16.56,61.76,-0.37%,1078385
344,"ORCL","Oracle Corporation","Technology","Application Software","USA",148331.51,13.87,32.19,-0.56%,19595796
345,"ORLY","O'Reilly Automotive Inc.","Services","Auto Parts Stores","USA",13564.63,22.78,123.00,-1.59%,681319
346,"OXY","Occidental Petroleum Corporation","Basic Materials","Independent Oil & Gas","USA",75628.40,17.15,93.96,0.43%,3047521
347,"PAYX","Paychex, Inc.","Services","Staffing & Outsourcing Services","USA",14400.13,24.95,39.42,-0.35%,2787535
348,"PBCT","People's United Financial Inc.","Financial","Savings & Loans","USA",4492.74,19.63,14.33,0.42%,2440079
349,"PBI","Pitney Bowes Inc.","Consumer Goods","Business Equipment","USA",3728.99,13.81,18.50,0.11%,2342361
350,"PCAR","PACCAR Inc.","Consumer Goods","Trucks & Other Vehicles","USA",19206.38,18.97,54.24,0.31%,1495616
351,"PCG","PG&E Corp.","Utilities","Electric Utilities","USA",18086.64,19.49,40.92,0.66%,3693622
352,"PCL","Plum Creek Timber Co. Inc.","Financial","REIT - Residential","USA",7426.61,30.80,45.59,0.42%,690412
